name,date,venue,city
Detroit Pistons v Milwaukee Bucks (Fashion Glasses Giveaway),2025-04-11,Little Caesars Arena,Detroit
Indigenous Fashion Show,2024-11-02,Mezzanine inside Seneca Niagara Resort and Casino,Niagara Falls
Fresh Traditions Fashion Show -  Season 17: BLOOM,2024-10-12,Saint Paul RiverCentre,Saint Paul
New York City Ballet: Fall Fashion Gala,2024-10-09,David H. Koch Theater,New York
Runway 7 Presents New York Fashion Week,2025-02-13,Sony Hall,New York
